car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly),image_url
HR-V E 1.5,Honda,2016,65.219,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,210000000,4280000,"https://imgx.gridoto.com/crop/0x0:5447x3598/700x465/filters:watermark(file/2017/gridoto/img/watermark.png,5,5,60)/photo/2018/12/20/49296503.jpg"
ROCKY R 1.0,Daihatsu,2021,22.709,Jakarta Timur,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,218000000,4440000,https://imgcdn.oto.com/medium/gallery/exterior/7/2366/daihatsu-rocky-99265.jpg
SIENTA Q 1.5,Toyota,2018,64.808,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,1,0,199000000,4050000,https://imgcdn.oto.com/large/gallery/exterior/38/1316/toyota-sienta-front-angle-low-view-433415.jpg
IGNIS GX 1.2,Suzuki,2017,103.106,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,129000000,2630000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//101/MTA-7474655/suzuki_suzuki_new_ignis_gx_1-2_mobil_full14_ro0rqalu.jpg
HR-V E PLUS 1.5,Honda,2018,27.308,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,258000000,5260000,https://images.ibid.astra.co.id/ibid/acvpro/150218/img/98740e684e7f023de538eaa224d3740a.png
XPANDER SPORT 1.5,Mitsubishi,2019,70.969,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,210000000,4280000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSM2Pj2yZq0bL0pRIesYX-6OIRfLkBjFPsfBA&s
BR-V E 1.5,Honda,2016,119.436,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,164000000,3340000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNCeI35gM4QPk5vj53BLxqGhaa8V4WWmvSRA&s
HR-V E PLUS 1.5,Honda,2018,94.946,Jakarta Timur,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,258000000,5260000,https://www.mocil.id/uploads/vehicle/4Qh3sjq0YFupPSY65RVZZ43PBaPEDa6WjtTUKGww.jpg
2 R SKYACTIV 1.5,Mazda,2015,117.682,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,166000000,3380000,https://imgcdn.oto.com/large/gallery/exterior/23/190/mazda-2-front-angle-low-view-869943.jpg
AGYA G 1.2,Toyota,2022,9.881,Jakarta Selatan,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,136000000,2770000,https://kreditkerenbanget.com/imagecache/original/flNCy17057362885560QW2Y.webp
XPANDER ULTIMATE 1.5,Mitsubishi,2018,61.532,Jakarta Barat,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,212000000,4320000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
LIVINA VL 1.5,Nissan,2019,83.691,Jakarta Pusat,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,199000000,4050000,https://imgcdn.oto.com/medium/gallery/exterior/29/2051/nissan-livina-31642.jpg
RUSH S TRD SPORTIVO 1.5,Toyota,2019,57.056,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,219000000,4460000,https://imgcdn.oto.com/large/gallery/exterior/38/1900/toyota-rush-front-angle-low-view-732737.jpg
XENIA X STD 1.3,Daihatsu,2012,44.746,Jakarta Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,102000000,2080000,https://imgcdnblog.carmudi.com.ph/wp-content/uploads/2021/11/23153412/Daihatsu-Xenia-1.3-X.jpg
XPANDER ULTIMATE 1.5,Mitsubishi,2018,93.142,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,209000000,4260000,https://tokomobil.com/wp-content/uploads/2022/08/1-3-1080x577.png
CX-3 GT 2.0,Mazda,2019,32.13,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,323000000,6580000,https://mocil.id/uploads/vehicle/size-md-thumb-350--dQDD0AvzQujrUvdjCgyKo9cfQZjuvVy9tRaVuJhQ.jpg
BRIO E 1.2,Honda,2016,48.751,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,131000000,2670000,"https://imgx.gridoto.com/crop/0x0:0x0/700x465/filters:watermark(file/2017/gridoto/img/watermark_otoseken.png,5,5,60)/photo/2020/11/16/4226788129.jpg"
PAJERO SPORT DAKAR ULTIMATE 4X2 2.4,Mitsubishi,2018,73.296,Jakarta Timur,Automatic,even plate,1,0,0,0,0,0,1,0,0,0,0,428000000,8720000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//116/MTA-57608998/mitsubishi_mitsubishi_pajero_sport_2-4_dakar_ultimate_4x2_at_2018_hitam_full01_tj2dt88r.jpg
CITY RS HATCHBACK 1.5,Honda,2021,46.694,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,262000000,5340000,https://www.honda-indonesia.com/uploads/images/models/variants/type__1614151106546.png
XPANDER ULTIMATE 1.5,Mitsubishi,2018,82.596,Jakarta Utara,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,213000000,4340000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
IGNIS GX AGS 1.2,Suzuki,2018,125.114,Jakarta Pusat,Automatic,even plate,1,0,0,0,0,0,1,0,0,0,0,125000000,2550000,https://www.suzuki.co.id/uploads/automobile/FA-DI-Ignis-red4.png
RAIZE GR SPORT 1.0,Toyota,2021,18.599,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,224000000,4560000,https://imgcdn.oto.com/medium/gallery/exterior/38/2367/toyota-raize-51212.jpg
BALENO HATCHBACK 1.4,Suzuki,2019,44.979,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,181000000,3690000,https://mocil.id/uploads/vehicle/size-md-thumb-350--cgp3ZqD2Fp7rFl6tKuByJCCHmDcy1FdQsVAYySYt.jpg
BRIO SATYA E 1.2,Honda,2019,46.912,Jakarta Selatan,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,156000000,3180000,https://images.tokopedia.net/img/cache/700/attachment/2021/10/26/162839454/162839454_010b8699-cbf4-471f-8d1e-0bcb4c50f051.jpg
X-TRAIL 2.5,Nissan,2015,92.536,Jakarta Timur,Automatic,odd plate,0,0,0,0,1,0,0,0,1,0,0,199000000,4050000,https://autonetmagz.com/wp-content/uploads/2016/05/Review-test-drive-All-New-Nissan-X-Trail.png
BRIO SATYA E 1.2,Honda,2017,24.658,Jakarta Barat,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,137000000,2790000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
BRIO SATYA E 1.2,Honda,2019,55.43,Jakarta Timur,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,156000000,3180000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
BRIO SATYA E 1.2,Honda,2014,40.516,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,106000000,2160000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
CX-5 GT 2.5,Mazda,2019,16.763,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,424000000,8640000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//106/MTA-65583484/mazda_mazda_cx-5_2-5_gt_skyactiv_at_2014_abu-abu_full01_sw3m37e9.jpg
MOBILIO RS 1.5,Honda,2020,70.213,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,193000000,3930000,https://imgcdn.oto.com/large/gallery/exterior/14/98/honda-mobilio-front-angle-low-view-192461.jpg
XL7 BETA 1.5,Suzuki,2021,42.044,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,209000000,4260000,https://www.mocil.id/uploads/vehicle/WGVmNxVmVaxW7mAPl0hL70qYPhhaEolesrmNwJ4U.jpg
ERTIGA SPORT GT 1.5,Suzuki,2019,25.127,Jakarta Selatan,Manual,odd plate,0,0,1,0,0,0,1,0,0,0,0,187000000,3810000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2JKqNBQpUypNRn0WMuPj5o8vITHfgn91slg&s
KIJANG INNOVA V 2.0,Toyota,2013,158.669,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,178000000,3630000,https://imgcdn.oto.com/medium/gallery/exterior/38/1240/toyota-kijang-innova-67295.jpg
BRIO SATYA E 1.2,Honda,2020,22.928,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,163000000,3320000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
CX-5 ELITE 2.5,Mazda,2017,44.889,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,373000000,7600000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTFbbSyUzram17-UBhE2TpvYgXnO6Rmgyt6g&s
SIENTA Q 1.5,Toyota,2017,112.207,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,186000000,3790000,https://imgcdn.oto.com/large/gallery/exterior/38/1316/toyota-sienta-front-angle-low-view-433415.jpg
BRIO SATYA E 1.2,Honda,2018,35.961,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,149000000,3040000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
BRIO SATYA E 1.2,Honda,2016,97.128,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,127000000,2590000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
XPANDER SPORT 1.5,Mitsubishi,2018,80.941,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,198000000,4030000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
KIJANG INNOVA REBORN G 2.0,Toyota,2017,89.457,Jakarta Timur,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,251000000,5110000,https://cdn.quicksell.co/-MTiWg9rwTFoT2TP9MYc/products/-N2KNCukCGXc3RtK5bkA.jpg
BRIO SATYA E 1.2,Honda,2020,43.337,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,162000000,3300000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
BR-V PRESTIGE 1.5,Honda,2019,41.412,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000,https://hondamuliacianjur.co.id/wp-content/uploads/2022/07/BR-V-Front-view_.png
HR-V E PLUS 1.5,Honda,2020,42.85,Jakarta Barat,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,282000000,5750000,https://www.mocil.id/uploads/vehicle/4Qh3sjq0YFupPSY65RVZZ43PBaPEDa6WjtTUKGww.jpg
